date,year,month,month_index,policy_count,new_policies,lapsed_policies,retention_rate,economic_stress,inflation_index,claims_count,average_claim_cost,total_claims,earned_premium,expense_ratio,operating_expense,loss_ratio,lapse_rate,operating_margin
2019-01-01,2019,1,1,12005,775,485,0.95962,0.22855,100.19965,489,1162.86,568638.98,1103027.37,0.22874,252301.32,0.51553,0.04038,0.25723
2019-02-01,2019,2,2,12042,844,460,0.96179,0.1602,100.46336,448,1220.75,546894.47,1121340.87,0.22634,253801.98,0.48771,0.03821,0.27596
2019-03-01,2019,3,3,11780,874,452,0.96161,0.2369,100.7031,463,1070.54,495658.98,1043246.27,0.24258,253067.16,0.47511,0.03839,0.27418
2019-04-01,2019,4,4,11788,783,442,0.9625,0.28164,100.94959,505,1144.58,578014.17,1079001.92,0.22953,247664.44,0.53569,0.0375,0.24093
2019-05-01,2019,5,5,11399,769,426,0.96259,0.30147,101.2431,473,1073.54,507783.8,1022564.09,0.23452,239815.5,0.49658,0.03741,0.26055
2019-06-01,2019,6,6,11795,789,454,0.96154,0.30626,101.53272,447,1113.07,497543.85,1054504.88,0.22134,233403.21,0.47183,0.03846,0.29651
2019-07-01,2019,7,7,11727,723,445,0.96202,0.41558,101.85827,411,1039.67,427303.58,1031988.75,0.22546,232673.7,0.41406,0.03798,0.35517
2019-08-01,2019,8,8,11732,737,437,0.96276,0.36097,102.10254,431,1208.21,520738.46,1066256.33,0.21532,229584.54,0.48838,0.03724,0.28725
2019-09-01,2019,9,9,11699,764,523,0.95531,0.48881,102.40721,446,1195.36,533130.83,1117863.09,0.214,239225.78,0.47692,0.04469,0.30988
2019-10-01,2019,10,10,12119,790,543,0.95516,0.40275,102.73119,422,1120.46,472835.73,1163922.74,0.21539,250699.41,0.40624,0.04484,0.3744
2019-11-01,2019,11,11,12197,777,601,0.95069,0.48439,102.96488,423,1167.24,493740.68,1184161.91,0.22088,261558.64,0.41695,0.04931,0.3658
2019-12-01,2019,12,12,12180,711,540,0.95566,0.5416,103.21544,466,1323,616518.2,1186745.39,0.22357,265320.95,0.5195,0.04434,0.25824
2020-01-01,2020,1,13,12224,809,554,0.95466,0.36056,103.43344,435,1243.71,541011.77,1188727.97,0.23313,277131.16,0.45512,0.04534,0.30685
2020-02-01,2020,2,14,12049,852,571,0.95265,0.41333,103.64467,504,1113.97,561442.06,1118284.35,0.23626,264206.6,0.50206,0.04735,0.25869
2020-03-01,2020,3,15,12054,848,530,0.95604,0.41248,103.91737,497,1180,586458.36,1101396.9,0.24194,266468.74,0.53247,0.04396,0.22588
2020-04-01,2020,4,16,11929,802,464,0.96114,0.43768,104.21602,525,1076.3,565056.73,1098901.65,0.24108,264924.46,0.5142,0.03886,0.24017
2020-05-01,2020,5,17,11799,704,472,0.95999,0.37368,104.5289,486,1045.76,508240.61,1114322.22,0.22998,256275.85,0.4561,0.04001,0.30872
2020-06-01,2020,6,18,11688,793,399,0.96589,0.23288,104.81863,484,1113.77,539062.83,1086007.45,0.2241,243370.25,0.49637,0.03411,0.28842
2020-07-01,2020,7,19,11991,803,424,0.96463,0.21798,105.02466,421,1118.59,470924.95,1095713.67,0.22507,246614.94,0.42979,0.03537,0.34298
2020-08-01,2020,8,20,12053,759,513,0.95748,0.37757,105.36391,455,1092.35,497017.32,1134258.17,0.22252,252391.77,0.43819,0.04252,0.34598
2020-09-01,2020,9,21,12061,768,480,0.96018,0.26592,105.58915,424,1180.04,500335.38,1155507.61,0.21489,248304.8,0.433,0.03982,0.3532
2020-10-01,2020,10,22,12143,794,521,0.95709,0.16093,105.83268,419,1212.81,508167.92,1170799.76,0.22281,260865.1,0.43403,0.04291,0.34631
2020-11-01,2020,11,23,12464,781,530,0.95744,0.21015,106.06101,411,1152.76,473782.36,1235944.71,0.22505,278145.77,0.38334,0.04256,0.38573
2020-12-01,2020,12,24,12444,855,507,0.95923,0.24917,106.30601,432,1246.55,538508.76,1227105.78,0.2242,275115,0.43884,0.04077,0.33695
2021-01-01,2021,1,25,12499,844,524,0.95809,0.25476,106.56411,427,1212.37,517681.26,1242293.47,0.23105,287029.7,0.41671,0.04191,0.35152
2021-02-01,2021,2,26,12270,803,467,0.96193,0.11277,106.80241,470,1245.24,585260.61,1212784.2,0.24057,291760.13,0.48258,0.03807,0.2683
2021-03-01,2021,3,27,12203,899,454,0.96278,0.09925,107.03332,456,1150.01,524405.73,1172101.54,0.23966,280905.55,0.44741,0.03722,0.31001
2021-04-01,2021,4,28,12359,901,424,0.96566,0.00596,107.25836,508,1161.81,590200.12,1172929.86,0.23613,276964.2,0.50318,0.03434,0.25908
2021-05-01,2021,5,29,12180,861,421,0.96545,0.10386,107.4714,481,1065.92,512705.62,1140150.28,0.23379,266550.97,0.44968,0.03455,0.31793
2021-06-01,2021,6,30,12201,763,403,0.96701,0.04073,107.67612,509,1146.69,583662.67,1160342.54,0.22679,263156.56,0.50301,0.03299,0.26776
2021-07-01,2021,7,31,12392,784,482,0.9611,0.09277,107.84081,418,1182.28,494191.22,1184188.26,0.22053,261144.07,0.41732,0.0389,0.36639
2021-08-01,2021,8,32,12302,810,410,0.96665,0.10798,108.05847,466,1203.56,560861.14,1185428.4,0.21135,250540.13,0.47313,0.03335,0.31936
2021-09-01,2021,9,33,12191,779,461,0.96219,0.13261,108.27388,396,1158.43,458739.8,1180977.86,0.21116,249378.86,0.38844,0.03781,0.38813
2021-10-01,2021,10,34,12636,812,513,0.9594,0.06367,108.6096,400,1235.74,494297.62,1267959.32,0.21522,272885.61,0.38984,0.0406,0.38805
2021-11-01,2021,11,35,12836,897,588,0.95417,0.13736,108.7916,437,1261.34,551203.8,1269803.28,0.21412,271884.09,0.43409,0.04583,0.3427
2021-12-01,2021,12,36,13016,812,544,0.95818,0.04845,109.0229,480,1223.11,587091.81,1310678.05,0.21854,286429.58,0.44793,0.04182,0.33132
2022-01-01,2022,1,37,12573,767,563,0.95524,0.12078,109.19765,485,1256.5,609402.46,1264141.99,0.22932,289890.08,0.48207,0.04476,0.29965
2022-02-01,2022,2,38,12520,860,467,0.96272,0.14589,109.37634,435,1096.69,477061.36,1299887.64,0.22974,298633.64,0.367,0.03728,0.40526
2022-03-01,2022,3,39,12474,834,517,0.95854,0.09803,109.61309,501,1191.2,596790.62,1207536.97,0.23519,284006.04,0.49422,0.04146,0.26299
2022-04-01,2022,4,40,12211,817,504,0.9587,0.60181,109.86544,507,1125.1,570424.07,1219565.15,0.24333,296752.41,0.46773,0.0413,0.29158
2022-05-01,2022,5,41,12176,756,502,0.95873,0.64156,110.16235,488,1185.19,578372.77,1204207.35,0.23041,277458.98,0.48029,0.04127,0.28724
2022-06-01,2022,6,42,12216,845,476,0.96108,0.64351,110.44245,427,1247.64,532741.93,1182667.3,0.22709,268575.04,0.45046,0.03892,0.32328
2022-07-01,2022,7,43,12131,736,525,0.95671,0.72791,110.72525,438,1215.89,532561.28,1193992.43,0.23238,277456.15,0.44603,0.04329,0.32234
2022-08-01,2022,8,44,12645,728,604,0.95224,0.67937,110.94578,448,1177.86,527679.04,1239218.83,0.22851,283178.53,0.42582,0.04776,0.33648
2022-09-01,2022,9,45,12566,733,641,0.94897,0.66947,111.19713,459,1217.42,558796.19,1251909.46,0.21569,270027.43,0.44636,0.05103,0.34555
2022-10-01,2022,10,46,12669,767,592,0.95326,0.77753,111.51762,483,1220.29,589400.92,1295737.21,0.23214,300791.31,0.45488,0.04674,0.31859
2022-11-01,2022,11,47,12864,762,656,0.949,0.72858,111.84775,485,1187.2,575790.04,1328390.17,0.23324,309835.68,0.43345,0.051,0.33076
2022-12-01,2022,12,48,12838,708,707,0.9449,0.84947,112.14997,507,1351.44,685180.07,1329575.94,0.23308,309903.89,0.51534,0.0551,0.24267
2023-01-01,2023,1,49,12822,790,640,0.95011,0.75843,112.46098,528,1367.23,721898.36,1357778.78,0.24026,326222.19,0.53168,0.04989,0.21846
2023-02-01,2023,2,50,12929,827,634,0.95095,0.81005,112.82311,658,1286.84,846738.85,1344575.33,0.24595,330704.78,0.73974,0.04905,0.01986
2023-03-01,2023,3,51,12621,801,587,0.95346,0.78524,113.19493,504,1213.37,611537.21,1303074.95,0.24484,319040.89,0.4693,0.04654,0.29126
