S,delta
0,-0.9999937428937755
0.8333333333333334,-0.999996815760835
1.666666666666667,-0.9999999418022127
2.5,-0.9999999973176386
3.333333333333333,-0.9999999998142698
4.166666666666667,-0.9999999999833846
5,-0.9999999999982719
5.833333333333334,-0.9999999999998579
6.666666666666667,-0.9999999999999432
7.5,-0.9999999999999005
8.333333333333334,-0.9999999999999687
9.166666666666668,-0.9999999999999432
10,-1.000000000000062
10.83333333333333,-0.9999999999999772
11.66666666666667,-0.999999999999892
12.5,-0.9999999999999772
13.33333333333333,-1.000000000000011
14.16666666666667,-1.000000000000037
15,-1.000000000000011
15.83333333333333,-0.9999999999999687
16.66666666666667,-1.000000000000037
17.5,-1.000000000000046
18.33333333333334,-1.000000000000011
19.16666666666667,-1.000000000000003
20,-1.000000000000003
20.83333333333334,-1.000000000000028
21.66666666666667,-1.000000000000011
22.5,-1.000000000000046
23.33333333333334,-1.000000000000079
24.16666666666667,-1.000000000000028
25,-0.9999999999999942
25.83333333333334,-0.9999999999999942
26.66666666666667,-1.00000000000002
27.5,-1.000000000000011
28.33333333333334,-0.999999999999909
29.16666666666667,-0.9999999999997384
30,-0.9999999999993633
30.83333333333334,-0.9999999999985106
31.66666666666667,-0.9999999999965155
32.5,-0.9999999999922181
33.33333333333334,-0.9999999999833846
34.16666666666667,-0.9999999999654363
35,-0.9999999999298467
35.83333333333334,-0.9999999998609439
36.66666666666667,-0.9999999997307526
37.5,-0.9999999994902878
38.33333333333334,-0.999999999055538
39.16666666666667,-0.9999999982854575
40,-0.9999999969480484
40.83333333333334,-0.9999999946688263
41.66666666666667,-0.9999999908540218
42.5,-0.999999984578568
43.33333333333334,-0.9999999744252818
44.16666666666667,-0.9999999582574531
45,-0.9999999329028441
45.83333333333334,-0.9999998937209511
46.66666666666667,-0.9999998340192633
47.5,-0.9999997442770336
48.33333333333334,-0.9999996111268814
49.16666666666667,-0.9999994160367804
50,-0.9999991336261927
50.83333333333334,-0.9999987295412353
51.66666666666667,-0.9999981578060471
52.5,-0.9999973575600251
53.33333333333334,-0.9999962490843586
54.16666666666667,-0.9999947290175043
55,-0.9999926646564403
55.83333333333334,-0.9999898872416878
56.66666666666667,-0.9999861841279341
