effort,P,rel_err
2500,5,0.04568724806446912
3000,6,0.03723903879513639
3500,7,0.03135878165149786
4000,8,0.02706077506510033
4500,9,0.02377885639145922
5000,10,0.02119910393691718
5500,11,0.01911680408201501
6000,12,0.01740364857179638
6500,13,0.01596896727968413
7000,14,0.01475119000433981
7500,15,0.01370433323519978
8000,16,0.01279535410899307
8500,17,0.0119985580127511
9000,18,0.01129468754693875
9500,19,0.01066830032885817
10000,20,0.01010743995800244
11500,23,0.008729132912273421
14000,28,0.00711059408747693
17000,34,0.005814990676045147
21000,42,0.004677445659007851
26000,52,0.003757791575443216
31500,63,0.003089238165990177
38500,77,0.002518633107193914
47500,95,0.002035085842385913
58000,116,0.001662510316309157
71500,143,0.001345597342513005
87500,175,0.001097486946494379
107000,214,0.0008959877551976534
131000,262,0.0007307187128924595
160500,321,0.0005955458576889177
197000,394,0.0004845037121722931
241000,482,0.0003954704706722353
295500,591,0.0003220269697007804
362000,724,0.0002624173898647888
443500,887,0.0002137751865390581
543500,1087,0.0001740453288905915
666000,1332,0.0001416509247837188
800000,1600,0.0001175857228959777
808500,1617,0.000116328458622961
816000,1632,0.0001152408763050331
816500,1633,0.0001151690817605197
825000,1650,0.0001139618991239321
833500,1667,0.0001127793564130653
841500,1683,0.000111688214288337
850000,1700,0.0001105513970131495
858500,1717,0.0001094371072380253
866500,1733,0.0001084083485198968
875000,1750,0.0001073359189105674
883500,1767,0.000106284139109779
891500,1783,0.0001053125628545066
900000,1800,0.0001042992016236893
908500,1817,0.0001033048155275265
916500,1833,0.000102385783271594
925000,1850,0.0001014267413287161
933500,1867,0.0001004851761424578
941500,1883,9.961453786653676e-05
950000,1900,9.870556191009702e-05
958500,1917,9.781271802992987e-05
966500,1933,9.698674951658444e-05
975000,1950,9.612401897980658e-05
983500,1967,9.527621032654299e-05
991500,1983,9.449155992268728e-05
1000000,2000,9.367163330877981e-05
