N,se
1000,0.4178819679930965
1225,0.3775596605633619
1375,0.3563709397128818
1501,0.341085521866639
1750,0.315889075625139
1840,0.3080666740138013
2125,0.2866646650695328
2254,0.2783406745932053
2500,0.2642917623943534
2762,0.2514442995211631
2875,0.2464533392110411
3250,0.2317992096447556
3384,0.2271634491205974
3625,0.219482362294297
4000,0.2089409839965483
4146,0.2052291197662852
4375,0.1997857933881233
4750,0.1917373967168217
5080,0.1854051422331451
5125,0.1845893737785513
5500,0.1781854698564409
5875,0.1724049360866067
6225,0.167488099043155
6250,0.1671527871972386
6625,0.1623531390582902
7000,0.1579445378125695
7375,0.1538766132047377
7627,0.1513131798695234
7750,0.1501076341458863
8125,0.1466026924608594
8500,0.1433323325347664
8875,0.1402715030032561
9250,0.1373987447024696
9345,0.1366985722093123
9625,0.1346955544243825
10000,0.1321458811971767
11450,0.1234954303819427
14030,0.1115641846507074
17191,0.1007866618432316
21063,0.09105284443754751
25809,0.08225608636562624
31623,0.07431082746783717
38747,0.06713277351668033
47476,0.06064801216456735
58171,0.05478988217389947
71276,0.04949735268310535
87333,0.04471615386237263
107007,0.04039685328652748
131113,0.03649478034179569
160651,0.03296946612825816
196842,0.02978480401849321
241186,0.02690776238293099
295521,0.02430857258166165
362096,0.02196047692734547
443669,0.01983919695480565
543618,0.01792283543217161
666085,0.01619156413844552
800000,0.01477435866517492
808333,0.01469800790980237
816140,0.014627540171701
816666,0.01462282874411901
824999,0.01454879150833051
833332,0.01447586758331699
841665,0.01440402934415196
849998,0.01433325011613376
858331,0.01426350413317048
866664,0.01419476649837101
874997,0.01412701314670523
883330,0.01406022080960622
891663,0.0139943669813962
899996,0.01392942988742625
908329,0.01386538845382728
916662,0.01380222227877694
924995,0.01373991160519337
933328,0.01367843729477295
941661,0.01361778080329437
949994,0.01355792415711693
958327,0.01349884993080508
966660,0.01344054122581634
974993,0.01338298165019303
983326,0.0133261552992027
991659,0.01327004673687513
999992,0.0132146409783873
1000000,0.01321458811971767
